A	B	C	set	pen
6586	6597	6560	1	-1
6422	6560	6597	1	-1
6422	6560	6597	2	2
6560	6597	6598	1	-1
6560	6597	6598	2	2
6597	6560	8424	1	-1
6597	6560	8424	2	2
6599	6590	6572	2	2
6572	6590	9840	1	-1
6572	6590	9840	2	2
6356	6347	6355	2	2
6456	8448	15551	1	-1
6456	8448	15551	2	2
6393	8107	8354	1	-1
6612	8103	8104	1	-1
6612	8103	8104	2	2
6608	6616	8386	1	-1
6620	6621	6610	2	2
6608	8362	8361	1	-1
6616	6457	8366	1	-1
6457	8366	8386	1	-1
8028	6610	6621	1	-1
8028	6610	6621	2	2
6619	6618	6617	1	-1
6610	6621	8027	1	-1
6610	6621	8027	2	2
6621	6610	8423	1	-1
6621	6610	8423	2	2
6613	6609	8082	1	-1
6613	6609	8082	2	2
6605	6396	9886	1	-1
9897	6624	9171	1	-1
6615	8099	15488	1	-1
6365	8098	15483	2	2
6633	6632	15657	1	-1
6633	6632	15657	2	2
15657	6632	8294	1	-1
6660	6631	14036	2	2
6634	8290	8291	1	-1
8294	6666	6628	2	2
6668	6640	5342	2	2
8119	6667	8121	1	-1
6669	6670	6668	1	-1
6669	5313	6668	1	-1
8120	5313	5314	1	-1
5315	5268	8112	1	-1
5315	5268	6670	1	-1
6670	5268	8112	1	-1
8115	5342	6640	2	2
6640	5342	6669	2	2
6637	6666	8115	1	-1
6637	6666	8299	2	2
6628	6666	8115	1	-1
6628	6666	8115	2	2
6676	6675	8292	1	-1
6680	6681	6673	1	-1
6680	6681	6673	2	2
8344	6392	9218	1	-1
6392	8344	6676	1	-1
6676	6392	8344	1	-1
6672	6631	6660	2	2
15472	6683	6373	1	-1
6683	6375	9137	1	-1
6683	6375	9137	2	2
6682	9154	9136	1	-1
6373	6683	8412	1	-1
6683	6373	6684	2	2
6685	6687	6686	1	-1
8291	6629	8339	1	-1
8342	6675	8343	1	-1
8342	6675	8292	1	-1
8342	6675	8292	2	2
6678	6400	6688	1	-1
6690	6359	6692	1	-1
6690	6359	9903	2	3
6366	6359	8516	2	3
8336	6696	6695	1	-1
6696	8336	6291	1	-1
6696	8336	6291	2	3
6629	6695	8338	1	-1
6291	6696	8336	1	-1
6703	6702	15659	2	2
6695	6696	8335	1	-1
6700	6702	15656	2	2
15659	6702	6700	2	2
6697	6329	9977	2	2
6714	8047	8048	1	-1
6721	8040	13564	1	-1
6721	8040	13564	2	2
6723	7770	7772	2	3
6727	7767	14114	1	-1
6727	7767	14114	2	2
7767	6727	7734	1	-1
6715	7773	13568	1	-1
6715	7773	13568	2	2
7773	6715	6722	1	-1
6736	6735	6737	2	2
13574	6737	6734	1	-1
13574	6737	6734	2	2
14099	6738	6746	1	-1
14099	6738	6746	2	2
8938	5343	7884	1	-1
6723	6727	7767	1	-1
13572	6745	6744	2	2
14110	6748	6403	1	-1
14110	6748	6403	2	2
6348	6403	6748	1	-1
6348	6403	6748	2	2
6748	6403	14109	1	-1
6748	6403	14109	2	2
6403	6748	6740	1	-1
6403	6748	6740	2	2
6749	6738	14095	1	-1
6749	6738	14095	2	2
6746	6738	6749	1	-1
6746	6738	6749	2	2
