BZONENUM,MZONENUM,TAZONENUM,ID,COUNTY,TOWN,AREA,HH,RESIDENT,HS,IND12,IND3A,IND3B,SCHEMP,GOVC,EXPO,UNV,SENIOR,JNR,TENANT,WORKER,NONWKR,STU6_14,STU15,INC,EMPD,DHBWP,DHBEP,DHBUP,DHBOP,DHBPP,DHBSP,DNHBP,DHBWA,DHBEA,DHBUA,DHBOA,DHBPA,DHBSA,DNHBA,APHBWP,APHBEP,APHBUP,APHBOP,APHBPP,APHBSP,APNHBP,APHBWA,APHBEA,APHBUA,APHBOA,APHBPA,APHBSA,APNHBA,POPDEN,DAYP,DAYA,AMP,AMA
9.0000,"40","40039","531",新北市,蘆洲區,1.9868,7658.000000,23645.000000,"3.09",1260.000000,1620.000000,250.000000,170.000000,0.000000,0.000000,0.000000,0.000000,2848.000000,23868.000000,10764.000000,13104.000000,2497.000000,2014.000000,"137.5",10824.000000,15275.470000,2604.000000,1799.620000,8372.090000,4300.170000,2200.530000,6314.450000,3663.250000,2478.650000,0.000000,3069.200000,4039.240000,865.990000,3177.810000,3050.730000,773.970000,373.173800,622.090000,1277.070000,162.970000,1353.920000,747.199200,728.150000,0.000000,239.288400,1184.988000,67.809000,402.338300,11901.0469,40866.33,17294.14,7613.92,3369.77
9.0000,"40","40049","532",新北市,蘆洲區,0.5615,7940.000000,25213.000000,"3.18",1342.000000,1800.000000,410.000000,570.000000,240.000000,0.000000,0.000000,955.000000,8434.000000,24747.000000,11160.000000,13587.000000,2663.000000,2147.000000,"137.5",11542.000000,16711.490000,2689.500000,2602.060000,9203.360000,4441.380000,2418.820000,7086.260000,4367.430000,4246.680000,1435.630000,5907.800000,6873.810000,1667.170000,6440.290000,3217.400000,860.956200,449.681400,643.590000,1420.580000,168.600000,1389.130000,1034.088000,1194.250000,240.970000,444.262400,1930.434000,125.889300,711.398500,44902.9386,45152.87,30938.81,8149.94,5681.29
9.0000,"40","40059","533",新北市,蘆洲區,0.7946,5265.000000,15909.000000,"3.02",1764.000000,1450.000000,650.000000,120.000000,0.000000,0.000000,0.000000,897.000000,649.000000,16410.000000,7400.000000,9009.000000,1680.000000,1354.000000,"137.5",7283.000000,11159.580000,1531.020000,1417.740000,5901.180000,2528.300000,1551.030000,4617.840000,3928.530000,790.590000,1286.680000,2826.130000,1298.960000,797.460000,3091.550000,2144.650000,418.000100,274.580500,438.070000,689.710000,114.760000,958.010000,809.642500,219.140000,225.260000,229.686400,359.573200,65.088200,379.795200,20021.3944,28706.69,14019.90,5037.78,2288.19
9.0000,"40","40069","534",新北市,蘆洲區,1.1911,8575.000000,26271.000000,"3.06",1203.000000,2080.000000,270.000000,560.000000,940.000000,0.000000,0.000000,0.000000,9420.000000,26726.000000,12053.000000,14673.000000,2775.000000,2237.000000,"137.5",12026.000000,18602.710000,2594.720000,2322.510000,10247.830000,4284.950000,2693.050000,7753.810000,4478.110000,4472.290000,0.000000,5823.980000,7231.990000,1643.490000,6391.000000,3579.120000,802.028200,408.129000,720.460000,1323.370000,188.740000,1588.280000,1031.538000,1221.930000,0.000000,429.001500,1973.289000,121.562200,724.273000,22056.0826,48499.58,30040.86,8610.13,5501.59
9.0000,"40","40079","535",新北市,蘆洲區,0.4534,8524.000000,26990.000000,"3.17",913.000000,1560.000000,390.000000,180.000000,0.000000,0.000000,0.000000,0.000000,3312.000000,26567.000000,11981.000000,14586.000000,2851.000000,2298.000000,"137.5",12355.000000,19498.940000,3351.470000,2231.620000,10164.810000,5534.680000,2671.180000,7769.540000,3605.800000,3033.570000,0.000000,3401.490000,4945.650000,959.960000,3204.280000,3663.890000,903.934000,475.735300,800.910000,1491.500000,209.810000,1681.170000,762.097600,781.350000,0.000000,242.388800,1272.155000,68.682400,402.127900,59528.0106,51222.24,19150.75,9226.95,3528.80
9.0000,"40","40089","536",新北市,蘆洲區,0.4518,7205.000000,22292.000000,"3.09",2749.000000,2600.000000,680.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22456.000000,10127.000000,12329.000000,2354.000000,1899.000000,"137.5",10205.000000,15544.090000,969.520000,2010.530000,9056.020000,1601.030000,2379.850000,6857.970000,6157.500000,0.000000,0.000000,3810.830000,0.000000,1075.420000,3580.740000,2932.270000,278.970200,346.519300,642.230000,460.310000,168.240000,1329.040000,1431.745000,0.000000,0.000000,296.469200,0.000000,84.013200,442.004000,49340.4161,38419.01,14624.49,6157.58,2254.23
9.0000,"40","40099","537",新北市,蘆洲區,0.3866,7727.000000,24039.000000,"3.11",961.000000,1900.000000,520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24083.000000,10861.000000,13222.000000,2539.000000,2047.000000,"137.5",11004.000000,17518.470000,1134.960000,2411.510000,9925.760000,1874.230000,2608.380000,7049.400000,3600.430000,0.000000,0.000000,2437.900000,0.000000,688.050000,1982.760000,3159.490000,342.331200,426.857100,743.210000,564.850000,194.690000,1489.610000,675.517000,0.000000,0.000000,203.950500,0.000000,57.799300,277.780400,62180.5484,42522.71,8709.14,6921.04,1215.05
8.0000,"41","41019","538",新北市,鶯歌區,5.2230,1924.000000,6607.000000,"3.43",2063.000000,370.000000,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,293.000000,6328.000000,2850.000000,3478.000000,698.000000,563.000000,"87.3",3022.000000,2601.360000,468.900000,598.210000,1879.350000,815.210000,412.760000,1272.260000,2196.890000,303.070000,0.000000,1343.860000,445.840000,302.040000,1710.890000,538.990000,121.038200,130.309000,210.830000,210.250000,46.170000,187.010000,629.641900,90.200000,0.000000,172.676200,132.518500,38.984600,174.443100,1264.9818,8048.05,6302.59,1444.60,1238.46
8.0000,"41","41029","539",新北市,鶯歌區,3.8679,2966.000000,8336.000000,"2.81",2001.000000,910.000000,270.000000,0.000000,190.000000,0.000000,0.000000,0.000000,0.000000,9755.000000,4393.000000,5362.000000,880.000000,710.000000,"87.3",3812.000000,4536.050000,426.580000,1210.580000,4293.990000,741.600000,943.030000,3124.030000,2837.740000,0.000000,0.000000,2139.450000,0.000000,483.260000,2293.370000,917.430000,97.673100,187.753700,364.730000,169.660000,79.880000,306.180000,761.247700,0.000000,0.000000,208.425500,0.000000,47.277500,206.995300,2155.1746,15275.86,7753.82,2123.31,1223.95
8.0000,"41","41039","540",新北市,鶯歌區,2.1919,1535.000000,4921.000000,"3.21",1164.000000,780.000000,80.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,5049.000000,2273.000000,2775.000000,520.000000,419.000000,"87.3",2251.000000,2450.940000,252.640000,739.200000,2292.530000,439.190000,503.500000,1734.560000,1778.550000,0.000000,0.000000,1419.720000,0.000000,321.410000,1361.540000,457.740000,55.005500,113.973600,189.110000,95.540000,41.420000,162.930000,471.699000,0.000000,0.000000,123.251300,0.000000,28.021100,125.529700,2245.0842,8412.56,4881.22,1115.72,748.50
