ID,LENGTH,DIR,A,B,ROADNAME,OTHERNAME,PROJECTNAM,YEAR,LEVEL_110,CLASS_110,LANES_110,ROW,S0,ALPHA,BETA,NMT_110,NTK_110,NBUS_110,COUNTY,MRTXFERPEN,ETAG
"7066",0.04,"1","7671","5896",新店環河快速道路,,,"104","2","12","2",,"60",1.0801,4.4767,"1","0","0","2",,
"7068",0.29,"1","7671","7672",新店環河快速道路,,,"104","2","12","1",,"60",1.0801,4.4767,"1","0","0","2",,
"7070",0.25,"2","7673","10155",北42,,,"104","5","57","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"7071",0.09,"2","7673","16032",縣106乙,,,"104","4","38","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7072",18.38,"2","7674","7053",台9,北宜公路,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7073",0.54,"1","7056","7675",國5,坪林行控交流道,,"104","1","4","1",,"48",1.0010,4.7645,"1","1","0","2",,
"7074",0.63,"1","7675","7094",國5,坪林行控交流道,,"104","1","4","1",,"48",1.0010,4.7645,"1","1","0","2",,
"7077",0.67,"1","7675","7057",國5,坪林行控交流道,,"104","1","4","1",,"48",1.0010,4.7645,"1","1","0","2",,
"7078",0.77,"1","7099","7675",國5,坪林行控交流道,,"104","1","4","1",,"48",1.0010,4.7645,"1","1","0","2",,
"7080",1.37,"2","6290","10152",阿柔洋產業道路,阿柔洋產業道路,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"7082",1.58,"2","7677","7676",阿柔洋產業道路,阿柔洋產業道路,,"104","6","74","1",,"50",3.7600,3.2900,"0","1","1","1","0",0.0000
"7084",1.73,"2","7678","7689",指南路三段,指南路三段,,"104","6","74","1",,"50",3.7600,3.2900,"0","1","1","1","0",0.0000
"7087",4.01,"2","7678","7688",指南路三段38巷,指南路三段38巷,,"104","6","74","1",,"50",3.7600,3.2900,"0","1","1","1","0",0.0000
"7093",0.24,"2","7679","16051",指南路三段,指南路三段,,"104","6","74","1",,"50",3.7600,3.2900,"0","1","1","1","0",0.0000
"7095",0.30,"2","7680","7681",其他道路,北深路三段25巷,,"104","6","79","2",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"7096",0.11,"2","5052","7105",縣106乙,文山路一段,,"104","4","39","2",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7097",0.10,"2","7105","7682",縣106乙,文山路一段,,"104","4","39","2",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7099",1.53,"2","7683","27373",縣106乙,文山路一段,,"104","4","36","2",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"7101",0.39,"2","7684","7683",其他道路,自然橋,,"104","6","81","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"7103",0.66,"2","7683","7685",縣106乙,文山路一段,,"104","4","36","2",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"7105",0.49,"2","7686","7685",其他道路,深美橋,,"104","6","79","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"7107",0.32,"2","7685","7687",縣106乙,文山路二段,,"104","4","36","2",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"7108",0.51,"2","7682","7102",縣106,雙青公路,,"104","4","38","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7109",0.33,"2","7686","27451",縣106,北深路一段,,"104","4","38","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7110",0.16,"2","7681","10153",縣106,北新路三段,,"104","4","37","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"7111",0.49,"2","7680","6290",縣106乙,文山路三段,,"104","4","36","2",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"7112",3.90,"2","7688","7677",指南路三段38/40巷,指南路三段38/40巷,,"104","6","74","1",,"50",3.7600,3.2900,"0","1","1","1","0",0.0000
"7113",0.99,"2","7689","7677",指南路三段,指南路三段,,"104","6","74","1",,"50",3.7600,3.2900,"0","1","1","1","0",0.0000
"7114",1.04,"2","7684","27452",縣106,北深路一段,,"104","4","38","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7116",1.68,"2","7691","7073",台2丙,北38,,"104","3","24","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"7117",1.57,"2","7690","7691",台2丙,平雙隧道,,"104","3","29","1",,"55",1.2312,2.9971,"0","0","0","2","0",0.0000
"7118",0.31,"2","7692","13425",北38,雙柑公路,,"104","5","56","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
